candidate_id,candidate_name,years_experience,current_city,top_skill_area,summary
1,Terry Coffey,2,Atlanta,support,Led multi-region ERP rollout across three warehouses.
2,Seth Brock,5,Remote,analytics,Managed high-volume healthcare recruiting for clinical roles.
3,Bernard Webster,17,Remote,support,Built dbt models and Airflow pipelines for finance analytics.
4,Michael Craig,4,Atlanta,engineering,Negotiated software procurement and vendor savings initiatives.
5,Ryan Grant,9,Remote,engineering,"Implemented Okta and SCIM provisioning for 2,000 employees."
6,James Baker,0,Austin,product,Led multi-region ERP rollout across three warehouses.
7,Jacob Curry,15,Chicago,operations,Built dbt models and Airflow pipelines for finance analytics.
8,James Little,12,Chicago,support,Built role-based compensation benchmarking dashboards.
9,Michael Ruiz,2,Remote,product,Built churn propensity model for customer success team.
10,Terri Murphy,11,Atlanta,engineering,Built dbt models and Airflow pipelines for finance analytics.
11,Maria Reid,3,Chicago,support,Managed high-volume healthcare recruiting for clinical roles.
12,Michael Banks,7,Chicago,sales,Designed interview loops for engineering leveling refresh.
13,Andrew Johnson,9,Seattle,engineering,Expanded support knowledge base and deflected repetitive tickets.
14,Audrey Young DDS,16,Remote,sales,Improved fulfillment SLA reporting with automated dashboards.
15,Jacob Avery,5,Austin,support,Built dbt models and Airflow pipelines for finance analytics.
16,Kimberly Matthews,0,Denver,engineering,Improved NPS by redesigning incident communications workflow.
17,Stacey Pena,7,Atlanta,support,Designed interview loops for engineering leveling refresh.
18,Lisa Crosby,16,Chicago,operations,Built dbt models and Airflow pipelines for finance analytics.
19,Michael Robinson,14,Seattle,sales,Designed interview loops for engineering leveling refresh.
20,David Cox,1,Seattle,sales,Designed interview loops for engineering leveling refresh.
21,Mrs. Stephanie Newman,0,Remote,operations,Improved fulfillment SLA reporting with automated dashboards.
22,Donald Donaldson,13,Seattle,operations,"Implemented Okta and SCIM provisioning for 2,000 employees."
23,Samantha Davis,12,Remote,sales,Built dbt models and Airflow pipelines for finance analytics.
24,Mark Maddox,10,Denver,analytics,Ran agile ceremonies for cross-functional product squad.
25,Gavin Zhang,1,Chicago,product,Led multi-region ERP rollout across three warehouses.
26,Christine Gallegos,5,Chicago,operations,Built churn propensity model for customer success team.
27,Laurie Li,15,Remote,sales,Led multi-region ERP rollout across three warehouses.
28,Raymond Kramer,2,Atlanta,analytics,Expanded support knowledge base and deflected repetitive tickets.
29,Destiny Riggs,3,Chicago,support,Managed high-volume healthcare recruiting for clinical roles.
30,Ms. Rebecca Rodriguez,8,Seattle,analytics,Built role-based compensation benchmarking dashboards.
31,Bonnie Howard,13,Chicago,analytics,Scaled self-serve onboarding funnel for SMB customers.
32,Leah Smith,14,Chicago,support,"Drove product launch for analytics module used by 8,000 accounts."
33,Cameron Fisher,10,Austin,product,Managed high-volume healthcare recruiting for clinical roles.
34,Arthur West,8,Remote,engineering,Scaled self-serve onboarding funnel for SMB customers.
35,Kevin Hayes,6,Chicago,product,Designed interview loops for engineering leveling refresh.
36,Luis Acosta,0,Seattle,product,Introduced warehouse slotting optimization process.
37,Mary Turner,4,Austin,product,Designed interview loops for engineering leveling refresh.
38,Amanda Lutz,3,Austin,operations,Built churn propensity model for customer success team.
39,Jessica Rodriguez,1,Seattle,product,"Implemented Okta and SCIM provisioning for 2,000 employees."
40,Jill Lam,13,Austin,engineering,Improved fulfillment SLA reporting with automated dashboards.
41,Charles Martinez,6,Austin,operations,Introduced warehouse slotting optimization process.
42,Lauren Joseph,9,Chicago,product,Automated revenue recognition data quality checks.
43,Kyle Phillips,3,Atlanta,sales,Managed high-volume healthcare recruiting for clinical roles.
44,Jessica Mcguire,10,Austin,support,Designed interview loops for engineering leveling refresh.
45,Matthew Rich,2,Austin,sales,Built role-based compensation benchmarking dashboards.
46,Sharon Jordan,12,Denver,analytics,Automated revenue recognition data quality checks.
47,Jennifer Wilcox,13,Seattle,analytics,Scaled self-serve onboarding funnel for SMB customers.
48,Nicholas Edwards,5,Austin,product,Reduced cloud spend by redesigning batch compute workloads.
49,David Mckay,3,Chicago,operations,Scaled self-serve onboarding funnel for SMB customers.
